story,sentence,word,pos,lemma,nchar
264,6,of,IN,of,2
264,6,America,NP,america,7
264,6,),),),1
264,6,.,SENT,.,1
264,7,When,WRB,when,4
264,7,Ed,NP,ed,2
264,7,finally,RB,finally,7
264,7,got,VBD,get,3
264,7,up,RP,up,2
264,7,",",",",",",1
264,7,tiny,JJ,tiny,4
264,7,sensors,NNS,sensor,7
264,7,in,IN,in,2
264,7,his,PP$,his,3
264,7,bed,NN,bed,3
264,7,registered,VBD,register,10
264,7,the,DT,the,3
264,7,change,NN,change,6
264,7,in,IN,in,2
264,7,pressure,NN,pressure,8
264,7,and,CC,and,3
264,7,communicated,VBD,communicate,12
264,7,it,PP,it,2
264,7,to,TO,to,2
264,7,the,DT,the,3
264,7,main,JJ,main,4
264,7,computer,NN,computer,8
264,7,system,NN,system,6
264,7,of,IN,of,2
264,7,his,PP$,his,3
264,7,apartment,NN,apartment,9
264,7,(,(,(,1
264,7,these,DT,these,5
264,7,sensors,NNS,sensor,7
264,7,could,MD,could,5
264,7,also,RB,also,4
264,7,find,VB,find,4
264,7,out,RP,out,3
264,7,exactly,RB,exactly,7
264,7,how,WRB,how,3
264,7,many,JJ,many,4
264,7,persons,NNS,person,7
264,7,were,VBD,be,4
264,7,lying,VBG,lie,5
264,7,in,IN,in,2
264,7,the,DT,the,3
264,7,bed,NN,bed,3
264,7,",",",",",",1
264,7,but,CC,but,3
264,7,Ed,NP,ed,2
264,7,preferred,VBD,prefer,9
264,7,not,RB,not,3
264,7,to,TO,to,2
264,7,think,VB,think,5
264,7,of,IN,of,2
264,7,it,PP,it,2
264,7,),),),1
264,7,.,SENT,.,1
264,8,The,DT,the,3
264,8,main,JJ,main,4
264,8,computer,NN,computer,8
264,8,(,(,(,1
264,8,it,PP,it,2
264,8,was,VBD,be,3
264,8,a,DT,a,1
264,8,Casio,NP,casio,5
264,8,Household,NN,household,9
264,8,One,CD,one,3
264,8,--,:,--,2
264,8,the,DT,the,3
264,8,state-of-the-art,JJ,state-of-the-art,16
264,8,in,IN,in,2
264,8,terms,NNS,term,5
264,8,of,IN,of,2
264,8,home,NN,home,4
264,8,computing,NN,computing,9
264,8,--,:,--,2
264,8,and,CC,and,3
264,8,Ed,NP,ed,2
264,8,had,VBD,have,3
264,8,had,VBD,have,3
264,8,quite,PDT,quite,5
264,8,some,DT,some,4
264,8,trouble,NN,trouble,7
264,8,connecting,VBG,connect,10
264,8,the,DT,the,3
264,8,Toshiba,NP,toshiba,7
264,8,alarm-clock,NN,alarm-clock,11
264,8,to,TO,to,2
264,8,it,PP,it,2
264,8,),),),1
264,8,heated,VBN,heat,6
264,8,some,DT,some,4
264,8,water,NN,water,5
264,8,to,TO,to,2
264,8,boil,VB,boil,4
264,8,two,CD,two,3
264,8,eggs,NNS,egg,4
264,8,and,CC,and,3
264,8,make,VB,make,4
264,8,a,DT,a,1
264,8,cup,NN,cup,3
264,8,of,IN,of,2
264,8,coffee,NN,coffee,6
264,8,",",",",",",1
264,8,just,RB,just,4
264,8,as,RB,as,2
264,8,strong,JJ,strong,6
264,8,as,IN,as,2
264,8,Ed,NP,ed,2
264,8,liked,VBD,like,5
264,8,it,PP,it,2
264,8,.,SENT,.,1
264,9,Ed,NP,ed,2
264,9,for,IN,for,3
264,9,his,PP$,his,3
264,9,part,NN,part,4
264,9,trotted,VBN,trot,7
264,9,towards,IN,towards,7
264,9,the,DT,the,3
264,9,shower,NN,shower,6
264,9,.,SENT,.,1
264,10,Having,VBG,have,6
264,10,undressed,VBN,undress,9
264,10,",",",",",",1
264,10,he,PP,he,2
264,10,said,VBD,say,4
264,10,sleepily,RB,sleepily,8
264,10,:,:,:,1
264,11,``,``,``,2
264,11,Water,NP,water,5
264,11,",",",",",",1
264,11,please,UH,please,6
264,11,.,SENT,.,1
264,12,'','','',2
264,12,Instantly,RB,instantly,9
264,12,",",",",",",1
264,12,a,DT,a,1
264,12,jet,NN,jet,3
264,12,of,IN,of,2
264,12,very,RB,very,4
264,12,cold,JJ,cold,4
264,12,water,NN,water,5
264,12,hit,VBD,hit,3
264,12,him,PP,him,3
264,12,.,SENT,.,1
264,13,With,IN,with,4
264,13,a,DT,a,1
264,13,shriek,NN,shriek,6
264,13,",",",",",",1
264,13,Ed,NP,ed,2
264,13,jerked,VBN,jerk,6
264,13,backwards,RB,backwards,9
264,13,.,SENT,.,1
264,14,He,PP,he,2
264,14,cried,VBD,cry,5
264,14,at,IN,at,2
264,14,the,DT,the,3
264,14,top,NN,top,3
264,14,of,IN,of,2
264,14,his,PP$,his,3
264,14,voice,NN,voice,5
264,14,:,:,:,1
264,15,``,``,``,2
264,15,Hot,JJ,hot,3
264,15,water,NN,water,5
264,15,",",",",",",1
264,15,ya,NP,ya,2
264,15,fuckin,NP,fuckin,6
264,15,',POS,',1
264,15,idiot,NN,idiot,5
264,15,!,SENT,!,1
264,16,'','','',2
264,16,Completely,RB,completely,10
264,16,overtaxed,VBN,overtax,9
264,16,by,IN,by,2
264,16,such,PDT,such,4
264,16,a,DT,a,1
264,16,complex,JJ,complex,7
264,16,syntactic,JJ,syntactic,9
264,16,structure,NN,structure,9
264,16,",",",",",",1
264,16,the,DT,the,3
264,16,speech,NN,speech,6
264,16,recognition,NN,recognition,11
264,16,system,NN,system,6
264,16,responded,VBD,respond,9
264,16,with,IN,with,4
264,16,a,DT,a,1
264,16,helpless,JJ,helpless,8
264,16,beep,NN,beep,4
264,16,(,(,(,1
264,16,the,DT,the,3
264,16,hordes,NNS,horde,6
264,16,of,IN,of,2
264,16,scientists,NNS,scientist,10
264,16,and,CC,and,3
264,16,engineers,NNS,engineer,9
264,16,had,VBD,have,3
264,16,never,RB,never,5
264,16,succeeded,VBN,succeed,9
264,16,in,IN,in,2
264,16,teaching,VBG,teach,8
264,16,a,DT,a,1
264,16,computer,NN,computer,8
264,16,to,TO,to,2
264,16,understand,VB,understand,10
264,16,American,NP,american,8
264,16,English,NP,english,7
264,16,),),),1
264,16,.,SENT,.,1
264,17,Half,PDT,half,4
264,17,a,DT,a,1
264,17,minute,NN,minute,6
264,17,later,RB,later,5
264,17,(,(,(,1
264,17,Ed,NP,ed,2
264,17,had,VBD,have,3
264,17,spent,VBN,spend,5
264,17,the,DT,the,3
264,17,time,NN,time,4
264,17,trying,VBG,try,6
264,17,various,JJ,various,7
264,17,pronunciations,NNS,pronunciation,14
264,17,of,IN,of,2
264,17,the,DT,the,3
264,17,word,NN,word,4
264,17,``,``,``,2
264,17,hot,JJ,hot,3
264,17,'','','',2
264,17,",",",",",",1
264,17,interspersed,VBN,intersperse,12
264,17,with,IN,with,4
264,17,a,DT,a,1
264,17,stream,NN,stream,6
264,17,of,IN,of,2
264,17,colourful,JJ,colourful,9
264,17,invective,NN,invective,9
264,17,),),),1
264,17,",",",",",",1
264,17,the,DT,the,3
264,17,system,NN,system,6
264,17,finally,RB,finally,7
264,17,realized,VBD,realize,8
264,17,that,IN,that,4
264,17,its,PP$,its,3
264,17,master,NN,master,6
264,17,did,VBD,do,3
264,17,not,RB,not,3
264,17,want,VB,want,4
264,17,to,TO,to,2
264,17,by,IN,by,2
264,17,a,DT,a,1
264,17,hut,NN,hut,3
264,17,",",",",",",1
264,17,but,CC,but,3
264,17,rather,RB,rather,6
264,17,to,TO,to,2
264,17,change,VB,change,6
264,17,the,DT,the,3
264,17,temperature,NN,temperature,11
264,17,of,IN,of,2
264,17,the,DT,the,3
264,17,water,NN,water,5
264,17,.,SENT,.,1
264,18,Ed,NP,ed,2
264,18,took,VBD,take,4
264,18,the,DT,the,3
264,18,07:20,CD,07:20,5
264,18,scissors,NN,scissors,8
264,18,(,(,(,1
264,18,an,DT,an,2
264,18,American-style,JJ,american-style,14
264,18,abbreviation,NN,abbreviation,12
264,18,of,IN,of,2
264,18,City,NP,city,4
264,18,Suspension,NN,suspension,10
264,18,Railways,NNS,railway,8
264,18,),),),1
264,18,to,TO,to,2
264,18,his,PP$,his,3
264,18,office,NN,office,6
264,18,.,SENT,.,1
264,19,Ed,NP,ed,2
264,19,was,VBD,be,3
264,19,a,DT,a,1
264,19,journalist,NN,journalist,10
264,19,.,SENT,.,1
264,20,He,PP,he,2
264,20,worked,VBD,work,6
264,20,for,IN,for,3
264,20,the,DT,the,3
264,20,Middle,NP,middle,6
264,20,East,NP,east,4
264,20,Sunny,NP,sunny,5
264,20,Times,NP,times,5
264,20,",",",",",",1
264,20,one,CD,one,3
264,20,of,IN,of,2
264,20,the,DT,the,3
264,20,biggest,JJS,big,7
264,20,newspapers,NNS,newspaper,10
264,20,of,IN,of,2
264,20,the,DT,the,3
264,20,area,NN,area,4
264,20,",",",",",",1
264,20,second,JJ,second,6
264,20,only,RB,only,4
264,20,to,TO,to,2
264,20,Today,NP,today,5
264,20,'s,POS,'s,2
264,20,Rumours,NNS,rumour,7
264,20,.,SENT,.,1
264,21,At,IN,at,2
264,21,07:55,CD,07:55,5
264,21,",",",",",",1
264,21,Ed,NP,ed,2
264,21,entered,VBD,enter,7
264,21,the,DT,the,3
264,21,tall,JJ,tall,4
264,21,office,NN,office,6
264,21,building,NN,building,8
264,21,of,IN,of,2
264,21,the,DT,the,3
264,21,Middle,NP,middle,6
264,21,East,NP,east,4
264,21,Sunny,NP,sunny,5
264,21,Times,NP,times,5
264,21,(,(,(,1
264,21,popularly,RB,popularly,9
264,21,known,VBN,know,5
264,21,as,IN,as,2
264,21,the,DT,the,3
264,21,MIST,NN,mist,4
264,21,),),),1
264,21,",",",",",",1
264,21,covered,VBN,cover,7
264,21,in,IN,in,2
264,21,glittering,VBG,glitter,10
264,21,silver,NN,silver,6
264,21,",",",",",",1
264,21,which,WDT,which,5
264,21,stood,VBD,stand,5
264,21,out,RP,out,3
264,21,against,IN,against,7
264,21,the,DT,the,3
264,21,filthy,JJ,filthy,6
264,21,sky,NN,sky,3
264,21,.,SENT,.,1
264,22,When,WRB,when,4
264,22,he,PP,he,2
264,22,had,VBD,have,3
264,22,assumed,VBN,assume,7
264,22,the,DT,the,3
264,22,proper,JJ,proper,6
264,22,position,NN,position,8
264,22,in,IN,in,2
264,22,front,NN,front,5
264,22,of,IN,of,2
264,22,his,PP$,his,3
264,22,computer,NN,computer,8
264,22,desk,NN,desk,4
264,22,",",",",",",1
264,22,Ed,NP,ed,2
264,22,switched,VBD,switch,8
264,22,on,IN,on,2
264,22,the,DT,the,3
264,22,main,JJ,main,4
264,22,screen,NN,screen,6
264,22,.,SENT,.,1
264,23,A,DT,a,1
264,23,female,JJ,female,6
264,23,",",",",",",1
264,23,soft,JJ,soft,4
264,23,",",",",",",1
264,23,and,CC,and,3
264,23,deliciously,RB,deliciously,11
264,23,sexy,JJ,sexy,4
264,23,voice,NN,voice,5
264,23,(,(,(,1
264,23,the,DT,the,3
264,23,one,NN,one,3
264,23,used,VBN,use,4
264,23,by,IN,by,2
264,23,most,JJS,most,4
264,23,software,NN,software,8
264,23,developers,NNS,developer,10
264,23,),),),1
264,23,requested,VBD,request,9
264,23,him,PP,him,3
264,23,to,TO,to,2
264,23,enter,VB,enter,5
264,23,his,PP$,his,3
264,23,full,JJ,full,4
264,23,name,NN,name,4
264,23,",",",",",",1
264,23,date,NN,date,4
264,23,of,IN,of,2
264,23,birth,NN,birth,5
264,23,",",",",",",1
264,23,and,CC,and,3
264,23,some,DT,some,4
264,23,further,JJ,far,7
264,23,personal,JJ,personal,8
264,23,data,NNS,datum,4
264,23,.,SENT,.,1
264,24,Edward,NP,edward,6
264,24,Bill,NP,bill,4
264,24,Hufnagel,NP,hufnagel,8
264,24,",",",",",",1
264,24,he,PP,he,2
264,24,punched,VBD,punch,7
264,24,in,IN,in,2
264,24,",",",",",",1
264,24,born,VBN,bear,4
264,24,02-21-1991,CD,02-21-1991,10
264,24,",",",",",",1
264,24,6'3,JJ,6'3,3
264,24,'','','',2
264,24,tall,JJ,tall,4
264,24,``,``,``,2
264,24,Please,UH,please,6
264,24,enter,VB,enter,5
264,24,your,PP$,your,4
264,24,personal,JJ,personal,8
264,24,ID,NN,id,2
264,24,code,NN,code,4
264,24,number,NN,number,6
264,24,now,RB,now,3
264,24,",",",",",",1
264,24,'','','',2
264,24,the,DT,the,3
264,24,voice,NN,voice,5
264,24,added,VBD,add,5
264,24,.,SENT,.,1
264,25,Ed,NP,ed,2
264,25,wondered,VBD,wonder,8
264,25,if,IN,if,2
264,25,they,PP,they,4
264,25,had,VBD,have,3
264,25,a,DT,a,1
264,25,male,JJ,male,4
264,25,",",",",",",1
264,25,harsh,JJ,harsh,5
264,25,",",",",",",1
264,25,and,CC,and,3
264,25,sexy,JJ,sexy,4
264,25,voice,NN,voice,5
264,25,for,IN,for,3
264,25,the,DT,the,3
264,25,female,JJ,female,6
264,25,employees,NNS,employee,9
264,25,as,IN,as,2
264,25,he,PP,he,2
264,25,punched,VBD,punch,7
264,25,in,IN,in,2
264,25,the,DT,the,3
264,25,code,NN,code,4
264,25,.,SENT,.,1
264,26,``,``,``,2
264,26,Clearance,NN,clearance,9
264,26,confirmed,VBD,confirm,9
264,26,",",",",",",1
264,26,'','','',2
264,26,the,DT,the,3
264,26,voice,NN,voice,5
264,26,said,VBD,say,4
264,26,.,SENT,.,1
264,27,In,IN,in,2
264,27,the,DT,the,3
264,27,meantime,NN,meantime,8
264,27,",",",",",",1
264,27,the,DT,the,3
264,27,screen,NN,screen,6
264,27,showed,VBD,show,6
264,27,an,DT,an,2
264,27,animated,JJ,animated,8
264,27,graphics,NNS,graphic,8
264,27,sequence,NN,sequence,8
264,27,featuring,VBG,feature,9
264,27,a,DT,a,1
264,27,bundle,NN,bundle,6
264,27,of,IN,of,2
264,27,letters,NNS,letter,7
264,27,that,WDT,that,4
264,27,whirled,VBD,whirl,7
264,27,through,IN,through,7
264,27,outer,JJ,outer,5
264,27,space,NN,space,5
264,27,and,CC,and,3
264,27,",",",",",",1
264,27,later,RB,later,5
264,27,on,IN,on,2
264,27,",",",",",",1
264,27,formed,VBD,form,6
264,27,the,DT,the,3
264,27,name,NN,name,4
264,27,of,IN,of,2
264,27,the,DT,the,3
264,27,newspaper,NN,newspaper,9
264,27,.,SENT,.,1
264,28,Then,RB,then,4
264,28,the,DT,the,3
264,28,GEM,NN,gem,3
264,28,(,(,(,1
264,28,Graphics,NP,graphics,8
264,28,Environment,NP,environment,11
264,28,Manager,NP,manager,7
264,28,),),),1
264,28,screen,NN,screen,6
264,28,appeared,VBD,appear,8
264,28,.,SENT,.,1
264,29,Ed,NP,ed,2
264,29,selected,VBD,select,8
264,29,the,DT,the,3
264,29,messages,NNS,message,8
264,29,item,NN,item,4
264,29,from,IN,from,4
264,29,one,CD,one,3
264,29,of,IN,of,2
264,29,the,DT,the,3
264,29,pull-down,JJ,pull-down,9
264,29,menus,NNS,menu,5
264,29,.,SENT,.,1
264,30,A,DT,a,1
264,30,short,JJ,short,5
264,30,note,NN,note,4
264,30,from,IN,from,4
264,30,the,DT,the,3
264,30,editor,NN,editor,6
264,30,informed,VBD,inform,8
264,30,him,PP,him,3
264,30,about,IN,about,5
264,30,today,NN,today,5
264,30,'s,POS,'s,2
264,30,work,NN,work,4
264,30,.,SENT,.,1
264,31,First,JJ,first,5
264,31,of,IN,of,2
264,31,all,DT,all,3
264,31,",",",",",",1
264,31,an,DT,an,2
264,31,accident,NN,accident,8
264,31,had,VBD,have,3
264,31,happened,VBN,happen,8
264,31,in,IN,in,2
264,31,a,DT,a,1
264,31,nuclear,JJ,nuclear,7
264,31,power,NN,power,5
264,31,station,NN,station,7
264,31,.,SENT,.,1
264,32,A,DT,a,1
264,32,two-page,NN,two-page,8
264,32,text,NN,text,4
264,32,gave,VBD,give,4
264,32,a,DT,a,1
264,32,summary,NN,summary,7
264,32,of,IN,of,2
264,32,what,WP,what,4
264,32,had,VBD,have,3
264,32,happened,VBN,happen,8
264,32,",",",",",",1
264,32,followed,VBN,follow,8
264,32,by,IN,by,2
264,32,the,DT,the,3
264,32,Government,NN,government,10
264,32,'s,POS,'s,2
264,32,official,JJ,official,8
264,32,explanation,NN,explanation,11
264,32,",",",",",",1
264,32,which,WDT,which,5
264,32,was,VBD,be,3
264,32,binding,VBG,bind,7
264,32,on,IN,on,2
264,32,him,PP,him,3
264,32,and,CC,and,3
264,32,all,DT,all,3
264,32,other,JJ,other,5
264,32,journalists,NNS,journalist,11
264,32,in,IN,in,2
264,32,the,DT,the,3
264,32,United,NP,united,6
264,32,Continents,NNS,continent,10
264,32,.,SENT,.,1
264,33,Ed,NP,ed,2
264,33,listlessly,RB,listlessly,10
264,33,made,VBD,make,4
264,33,up,RP,up,2
264,33,the,DT,the,3
264,33,text,NN,text,4
264,33,",",",",",",1
264,33,being,VBG,be,5
264,33,careful,JJ,careful,7
264,33,not,RB,not,3
264,33,to,TO,to,2
264,33,contradict,VB,contradict,10
264,33,the,DT,the,3
264,33,governmental,JJ,governmental,12
264,33,edict,NN,edict,5
264,33,.,SENT,.,1
264,34,As,RB,as,2
264,34,soon,RB,soon,4
264,34,as,IN,as,2
264,34,he,PP,he,2
264,34,has,VBZ,have,3
264,34,finished,VBN,finish,8
264,34,",",",",",",1
264,34,he,PP,he,2
264,34,clicked,VBD,click,7
264,34,the,DT,the,3
264,34,Check,NP,check,5
264,34,gadget,NN,gadget,6
264,34,",",",",",",1
264,34,thus,RB,thus,4
264,34,transferring,VBG,transfer,12
264,34,the,DT,the,3
264,34,text,NN,text,4
264,34,to,TO,to,2
264,34,the,DT,the,3
264,34,computer,NN,computer,8
264,34,system,NN,system,6
264,34,of,IN,of,2
264,34,the,DT,the,3
264,34,Department,NP,department,10
264,34,of,IN,of,2
264,34,the,DT,the,3
264,34,Free,NP,free,4
264,34,Press,NP,press,5
264,34,",",",",",",1
264,34,where,WRB,where,5
264,34,its,PP$,its,3
264,34,contents,NNS,contents,8
264,34,would,MD,would,5
264,34,automatically,RB,automatically,13
264,34,be,VB,be,2
264,34,compared,VBN,compare,8
264,34,to,TO,to,2
264,34,the,DT,the,3
264,34,edicts,NNS,edict,6
264,34,of,IN,of,2
264,34,the,DT,the,3
264,34,Government,NN,government,10
264,34,.,SENT,.,1
264,35,The,DT,the,3
264,35,text,NN,text,4
264,35,vanished,VBN,vanish,8
264,35,from,IN,from,4
264,35,the,DT,the,3
264,35,screen,NN,screen,6
264,35,as,IN,as,2
264,35,it,PP,it,2
264,35,was,VBD,be,3
264,35,completely,RB,completely,10
264,35,erased,VBN,erase,6
264,35,from,IN,from,4
264,35,all,DT,all,3
264,35,non-governmental,JJ,non-governmental,16
264,35,memories,NNS,memory,8
264,35,(,(,(,1
264,35,this,DT,this,4
264,35,is,VBZ,be,2
264,35,accomplished,VBN,accomplish,12
264,35,through,IN,through,7
264,35,a,DT,a,1
264,35,direct,JJ,direct,6
264,35,deletion,NN,deletion,8
264,35,line,NN,line,4
264,35,to,TO,to,2
264,35,all,DT,all,3
264,35,privately,RB,privately,9
264,35,owned,VBN,own,5
264,35,computer,NN,computer,8
264,35,systems,NNS,system,7
264,35,demanded,VBD,demand,8
264,35,by,IN,by,2
264,35,law,NN,law,3
264,35,),),),1
264,35,.,SENT,.,1
264,36,A,DT,a,1
264,36,few,JJ,few,3
264,36,seconds,NNS,seconds,7
264,36,later,RBR,later,5
264,36,the,DT,the,3
264,36,text,NN,text,4
264,36,reappeared,VBD,reappear,10
264,36,.,SENT,.,1
264,37,Some,DT,some,4
264,37,sentences,NNS,sentence,9
264,37,had,VBD,have,3
264,37,been,VBN,be,4
264,37,altered,VBN,alter,7
264,37,or,CC,or,2
264,37,even,RB,even,4
264,37,taken,VBN,take,5
264,37,out,RP,out,3
264,37,entirely,RB,entirely,8
264,37,",",",",",",1
264,37,without,IN,without,7
264,37,leaving,VBG,leave,7
264,37,any,DT,any,3
264,37,trace,NN,trace,5
264,37,.,SENT,.,1
264,38,Ed,NP,ed,2
264,38,clicked,VBD,click,7
264,38,the,DT,the,3
264,38,Print,NP,print,5
264,38,gadget,NN,gadget,6
264,38,in,IN,in,2
264,38,order,NN,order,5
264,38,to,TO,to,2
264,38,forward,VB,forward,7
264,38,the,DT,the,3
264,38,text,NN,text,4
264,38,to,TO,to,2
264,38,the,DT,the,3
264,38,layout,NN,layout,6
264,38,section,NN,section,7
264,38,.,SENT,.,1
264,39,Next,NP,next,4
264,39,was,VBD,be,3
264,39,a,DT,a,1
264,39,classified,JJ,classified,10
264,39,report,NN,report,6
264,39,from,IN,from,4
264,39,the,DT,the,3
264,39,archives,NN,archive,8
264,39,of,IN,of,2
264,39,the,DT,the,3
264,39,MIA,NP,mia,3
264,39,(,(,(,1
264,39,Military,NP,military,8
264,39,Intelligence,NP,intelligence,12
264,39,Agency,NP,agency,6
264,39,),),),1
264,39,",",",",",",1
264,39,Overseas,NP,overseas,8
264,39,Department,NP,department,10
264,39,.,SENT,.,1
264,40,This,DT,this,4
264,40,report,NN,report,6
264,40,proved,VBN,prove,6
264,40,that,IN,that,4
264,40,statements,NNS,statement,10
264,40,of,IN,of,2
264,40,the,DT,the,3
264,40,Federation,NP,federation,10
264,40,of,IN,of,2
264,40,the,DT,the,3
264,40,Democratic,JJ,democratic,10
264,40,Republics,NNS,republic,9
264,40,of,IN,of,2
264,40,Europe,NP,europe,6
264,40,and,CC,and,3
264,40,Asia,NP,asia,4
264,40,(,(,(,1
264,40,FEDEREA,NP,federea,7
264,40,",",",",",",1
264,40,usually,RB,usually,7
264,40,called,VBN,call,6
264,40,``,``,``,2
264,40,the,DT,the,3
264,40,Federation,NP,federation,10
264,40,'','','',2
264,40,),),),1
264,40,",",",",",",1
264,40,claiming,VBG,claim,8
264,40,that,IN,that,4
264,40,free,JJ,free,4
264,40,elections,NNS,election,9
264,40,took,VBD,take,4
264,40,place,NN,place,5
264,40,in,IN,in,2
264,40,all,PDT,all,3
264,40,its,PP$,its,3
264,40,member,NN,member,6
264,40,states,NNS,state,6
264,40,",",",",",",1
264,40,were,VBD,be,4
264,40,mere,JJ,mere,4
264,40,lies,NNS,lie,4
264,40,.,SENT,.,1
264,41,A,DT,a,1
264,41,governmental,JJ,governmental,12
264,41,notice,NN,notice,6
264,41,appended,VBN,append,8
264,41,to,TO,to,2
264,41,the,DT,the,3
264,41,text,NN,text,4
264,41,guaranteed,VBD,guarantee,10
264,41,the,DT,the,3
264,41,newspaper,NN,newspaper,9
264,41,the,DT,the,3
264,41,right,NN,right,5
264,41,to,TO,to,2
264,41,publish,VB,publish,7
264,41,the,DT,the,3
264,41,entire,JJ,entire,6
264,41,contents,NNS,contents,8
264,41,of,IN,of,2
264,41,the,DT,the,3
264,41,classified,JJ,classified,10
264,41,report,NN,report,6
264,41,without,IN,without,7
264,41,prosecution,NN,prosecution,11
264,41,(,(,(,1
264,41,for,IN,for,3
264,41,the,DT,the,3
264,41,publication,NN,publication,11
264,41,of,IN,of,2
264,41,classified,JJ,classified,10
264,41,material,NN,material,8
264,41,was,VBD,be,3
264,41,otherwise,RB,otherwise,9
264,41,regarded,VBN,regard,8
264,41,as,IN,as,2
264,41,high,JJ,high,4
264,41,treason,NN,treason,7
264,41,and,CC,and,3
264,41,would,MD,would,5
264,41,lead,VB,lead,4
264,41,to,TO,to,2
264,41,instantaneous,JJ,instantaneous,13
264,41,deportation,NN,deportation,11
264,41,to,TO,to,2
264,41,Alaska,NP,alaska,6
264,41,),),),1
264,41,.,SENT,.,1
264,42,Ed,NP,ed,2
264,42,quickly,RB,quickly,7
264,42,rewrote,VBD,rewrite,7
264,42,some,DT,some,4
264,42,paragraphs,NNS,paragraph,10
264,42,of,IN,of,2
264,42,the,DT,the,3
264,42,report,NN,report,6
264,42,",",",",",",1
264,42,then,RB,then,4
264,42,he,PP,he,2
264,42,had,VBD,have,3
264,42,the,DT,the,3
264,42,article,NN,article,7
264,42,checked,VBD,check,7
264,42,and,CC,and,3
264,42,transferred,VBD,transfer,11
264,42,it,PP,it,2
264,42,to,TO,to,2
264,42,layout,NN,layout,6
264,42,.,SENT,.,1
264,43,Ed,NP,ed,2
264,43,glanced,VBD,glance,7
264,43,at,IN,at,2
264,43,his,PP$,his,3
264,43,wristwatch,NN,wristwatch,10
264,43,.,SENT,.,1
264,44,He,PP,he,2
264,44,had,VBD,have,3
264,44,paid,VBN,pay,4
264,44,a,DT,a,1
264,44,small,JJ,small,5
264,44,fortune,NN,fortune,7
264,44,for,IN,for,3
264,44,it,PP,it,2
264,44,(,(,(,1
264,44,231,CD,231,3
264,44,",",",",",",1
264,44,to,TO,to,2
264,44,be,VB,be,2
264,44,precise,JJ,precise,7
264,44,",",",",",",1
264,44,which,WDT,which,5
264,44,was,VBD,be,3
264,44,almost,RB,almost,6
264,44,half,PDT,half,4
264,44,his,PP$,his,3
264,44,monthly,JJ,monthly,7
264,44,income,NN,income,6
264,44,),),),1
264,44,.,SENT,.,1
