satisfactiontexts,harmonytexts,harmonywords,satisfactionwords,hilstotal,swlstotal,age,gender
"I would say overall I am grateful but not satisfied and not sure that I will ever be satisfied. Satisfied would be to me there is nothing left to do, nothing left to improve. And in that sense, I am not. I have many projects unfinished. I have many desires for personal educational improvement as well as home improvement.  I have desires for improvement in my children and my daily life.","I do not feel I am in harmony either. There are aspects of my life that are in harmony, but the majority still seems to be more chaotic than I would like.  I feel like I have too much stuff. I think eliminating a lot of things would free up more time to spend on actually living.  I have started working out and feel my body is becoming more in harmony with itself. The food we eat is organic and fresh,I cook a lot at home and this aspect feels like we are in harmony with nature. But the disorder and chaos of having too much stuff is becoming overwhelming.",disorder chaos messy overwhelmed depression extreme hoarding stressed fatigued sad,grateful humbled surprised spoiled wealthy happy content overwhelmed valued challenged,21,22,38,male
"I HAVE A LONG-TERM marriage that is good for the most part, but we certainly have had hard times.  He is a good husband and we get along most of the time.  I raised two great kids who are independent, educated and responsible.  I have a good job and am financially secure.  I have travelled all over the world and have had some amazing opportunities and experiences.  I am healthy and pretty emotionally secure.  Overall, my life has been good.",I am in harmony because I am confident and have control over most circumstances.  I rarely get upset and I have a positive outlook.  I am steady at work and enjoy my job.  I get along with my co-workers and feel that I am contributing to the world and helping people.  I get along with my family and enjoy their company.,SATISFIED SPIRITUAL HEALTHY CONFIDENT FRIENDLY ACCEPTING INTIUTIVE INTERESTING RELAXED CURIOUS,LOVED EMPLOYED MOTHER WIFE FRIEND STABLE TRAVELED DIVERSE EDUCATED ANALYTICAL,30,27,58,male
"I am tired. I run in circles. i might get ahead but end up where i started. i feel like i am the only one who cares, so i don't. not caring doesn't feel any different, actually worse. may be i just dont understand . i feel out of place. my mind is still young but the body is old. hard to find someone that feels the same.",no i am not in harmony. how can you be in harmony if your not satisfied? reasons i am not in harmony? look at the previous page. i don't understand sometimes.,unbalanced stumbling clumsy odd overbearing unfit loud unseen ruckuss off,tired lonely frustration anger surrender unequal circle pointless faraway unheard,9,7,43,female
I am overall satisfied with life. I enjoy my love life. I also enjoy where I am currently at in life. I may not be as far as I would like to be but I always remember I could be worse. I am happy with all the blessings in my life and my family.,I feel I am in harmony. I am a pretty happy person. I am always well rested and peaceful. I do not let things stress me out. I try to seize the day and always make something positive out of it. I enjoy my life and try to make the most out of it.,love peaceful happy amused laughing crying best good fair restful,Food religion world pets happiness lovelife amusement children education financial,33,28,30,female
"I am pretty much satisfied with my life. I have an awesome husband who loves me and would do anything for me,my four kids are grown now and i have 13 beautiful grand kids,i am so blessed.",My life is now in peaceful harmony.I do not let what others think or say or do affect me anymore.I have blocked out all negativity from my life.,peace quiet reflective agreeing family friends well being strong calm easy,happy married kids grandkids family secure peace tranquillity devotion loyal,31,24,53,male
"As I approach the later years in my life, I find the the things that make me happy and give me peace are much different than when I was younger. I don't anger as easily or let things bother me as much. Things that seemed important don't seem as important. Money, success and those types of things don't play as important role as family.I am much happier with small successes and achievements. I am more at peace.","I feel much more in harmony at this stage in my life than any other time in my life. I am more aware of my surroundings. I enjoy listening to music and seeing nature. When I was younger, I took these things for granted. I am much more satisfied with my life.",peace calm comfort freedom paradise children music feelings pleasure happiness,faith family finances health happiness opportunities intelligence work environment social,34,30,61,male
"i be leave that i am in fact satisfied with my life, but there is always room for advancement. from where i stood a couple years ago in life to know i grew quite a bit. i know have a college degree and am on my way to the navy. not bad for someone that was arrested for a year to change there life around.","harmony means a lot to me its the realization of someone loving there self. which is one thing i believe everyone should have, because when you do life seems to go a lot better. loving ones self is the first step in life i think. so harmony is just the love and peace you have with yourself.",calm peaceful inactive nirvana tranquillity peace happy quiet empowered inspired,happy done excited peaceful angry obsessed sad down inactive active,29,23,25,female
Overall I am satisfied with my life.  I am happy and healthy and I have a great positive attitude.  I believe that a positive attitude makes or breaks any situation.  I have a warm place to sleep at night and food on my table.  I couldn't ask for more than this to make me feel satisfied with my life.,"I am in harmony with my life.  I am happy and strong and sure footed.  I know who I am in life and what my strength and weaknesses are.  I also know what I am striving to become and what steps I must take to get there.  I am happy where I am but, would love to push myself farther to become more.  Overall I am very happy with my life.",content attentive sunshine warm happy cheerful positive attitude sharp singing,happy strong positive firm faith giddy rainbows sunshine breezy content,35,26,46,male
I am satisfied. Life could be much worse. I have been in worse times regarding money then right now. Im not rich but im doing just fine. I broke up with my girlfriend recently and although that was hard I knew we should have broken up long ago. I'm doing much better now. I have a few friends and I would do anything for them. My ex betraying me made me feel terrible  but I know that was her fault and not mine.,I have always been very centred in life. I'm a libra and although I don't believe in that stuff I feel like scales represent me very well. I am balanced. I am hard to anger. At the same time it is hard for me to find joy in things. Its ok though. I am always calm. I am a rock and am hard to move.,yes flow balance scales peace harmony reflective cold,adequate normal on course good fine ok running  to write,25,16,23,female
"I am satisfied with life, everyday I wake up and its a new day. What I make of that day is up to me, but thankfully I have the opportunity to get out there and do something","I am in harmony, my house is quiet and peaceful except for the occasional fights with my fiance, but we are happy, and so is our cat",calm flaky fish sweet soothing neat orderly tusk trained open,happy records lasers people love full nice good house images,31,28,31,female
"Similar to being in harmony, I am not satisfied with my life.  I make plenty of money and have financial stability that many people would be envious of, but I have an emotional void.  I want to have more friends and people that I can count on but I have been so self focused that I have neglected friendships over the years.  I know this is something that I can do better at but it is hard to know where to start.  I think I would be more satisfied with my life if I had more balance and didn't spend all my time working and worrying.","I am definitely not in harmony right now.  There are too many things going on in my life that are making me anxious and/or sad right now.  I am coming up on my 50th birthday in a few days and it's hitting me hard.  Not that I'm getting older per se, but that I feel I have so little to show for it other than financial stability.  I feel like I've focused on the wrong things in my life and it's too late to go back and redo the most important things like family.  My only child will be leaving for college in the fall and I wish I had had more children but it's definitely too late for that.  I don't have a household full of laughter and love and that makes me sad, depressed, etc.  I know I need to refocus to bring harmony to my life but my negative feelings are so strong right now I am having trouble finding any balance.",anxiety stress depression fear sadness uncertainty guilt loss frustration anger,frustration desire want need depression anxiety loss guilt imbalance comfort,14,16,49,male
"I think I am satisfied overall with my life thus far, I have most of what I need and a lot of what I want.  My career and family are my primary concerns, and they are also satisfied - the company is growing and my family is happy and healthy.","I find myself more or less happy each day of my life, things seem to be in harmony with my career and family.  I am driven and motivated most of the time, and this seems to be increasing with time.  Sometimes I can be a bit lazy and not want to get after the things that I want in life.  But, overall I am very content with where I am at, so I think that's why I do not feel it's always necessary.",content happy cheerful joyous harmonious capable driven motivated indifferent mundane,happy content joyful driven motivated cheerful indifferent lazy forgetful futuristic,26,27,32,female
"I have satisfaction in all areas of my life. I'm pleased with my ability to teach and learn. I feel that I am considerate of others and cooperate with them, too.","I am contented with the way things are going in my life. I am fulfilled as a wife, mother, and teacher. I am satisfied with my appearance and how people perceive me.",cooperation serene openminded amicable meditative friendly compatible empathetic karma peaceful,contented fulfilled positive appreciative enthusiastic composed pleased confident serene courageous,33,32,61,male
I have enough food and basic necessities to live my life. I am able to live within my means. I am able to be patient and understand between what I want and what I need. I am not greedy and I try to not take what is not mine.,I love my family and have wonderful friends. I try to be stress free and I try to help others. I believe in my self. I am able to clearly think about my plans for the future. I have people who care about me.,peace balance compatible amity unity content united friendly hope likeable,satiated happy content joyful humble full fat pleased complacent smug,29,22,21,female
I am extremely satisfied with my life out side of work. My work is very stressful and a life sucker. I try to keep my work and family life separate so that I can be satisfied overall.,"Most important is my family. They are healthy. I am loved as are they. We have stability, security and each other. We are able to do many thing together and love our time with each other.",stress sick tired overworked underpaid family love peace together dogs,family love health work money overworked underpaid animals missed peace,22,21,41,male
"I am very content with my life right now, however I am still very driven and want to make more of my life. I want to make more money, make more friends, be more successful. I want more importance in either my company, or in life.",My life seems to be filled with discord. I live with anxiety and my lifestyle seems to be contributing to this anxiety. I wish my mental state were more stable.,drugs alcohol tv games movies music food plants internet clothes,Content Happy Achievement Satisfaction Passion Youth Commpanionship Money Apartment Job,14,21,24,female
lost my mom and cat of 13 years. this year.we lived to again 24yrs.i'm disabled my mom helped me a lot .know i have none too help.i've been struggling get very little on disability .i work here to pay my utilities etc.i really wouldn't know what to do if it wasn't for mturk.been depressing very stressful etc.i pray things will get better.got a new kitty she 6 months it helps some.,im thankful for the few family and friends i have.its been a struggle for me.i try to do the best i can.i really hope things will turn around for the better.,strong happy love content unique hardworker caring respectful nonjudgemental strong,honest caring loving helpful intelligent strong innovative,32,22,41,male
"No im a poor fat and out of shape, I have thing going  for me in anyway or form. I think just writing about it makes it worse,but it sure doesn't help its Christmas.","No I hate my life its awful and I am sick it. I am on mturk for a reason, because my life is awful. I wish I was someone else but im stuck in this crappy existence.",peace kinship friendship tranquillity clash jangling fighting dislike discord compatibility,wealth happy finished hardworking lazy dumb fat weak eating habits overweight,11,13,34,female
I'm satisfied with my life at the moment. I was dissatisfied three years ago when I was working a dead end job. I found a new job since then and back in school which gives me a great deal of satisfaction. The more objectives I complete the happier I become.,At this point of my life I'm at a cross roads of what I want out of life. I would said I'm satisfied with my life decisions up to this point. For this I'm at peace because I know I'm making the right decisions in life. Perfect harmony in ones life is hard to accomplish.,peaceful serenity tranquil friendship kinship consistency clash controversy hostility division,happy fulfilled accomplished delighted cheerful joyful merry jubilant annoyed displeased,27,28,23,female
"I am happy with life as a whole,but life can also be a bummer,I worked at a job for 20 years,putting my all into this place,and then i get laid off, broke,struggling to pay my bills,trying to take care of my family","I belive,in life that family is most important because without family there just is,nt true happiness,money is good,and a good job is good but family is what makes a person truly whole and happy i do belive",love family kinship friends money sex happiness food bonding brotherhood,love happy family work money power intune friends sex kinky,25,13,51,female
I am not satisfied with my life emotionally or financially. My spouse is quite difficult to deal with and often disengaged with reality. Her reckless spending has brought me to a life of financial struggle due to staggering amounts of debt. It is quite hard to deal with these burdens.,My life is not in harmony. I have many challenges that make me tired and frustrated. It is hard to enjoy the good things in life when constantly in such a state.,conflict anger frustration shame anxiety distrust jealousy inadequacy estrangement awkward,quiet debt anxious impatient planing worried unforeseen need helpless waiting,16,13,41,female
"I am satisfied in my life. I am happy, healthy, and loved. I have a great family and friends. I am very content with what I have. I don't need fancy things to satisfy me. What makes me happiest is things that you can not buy.","I feel I am harmony in my life. I am easy going and can go with the flow. I do not expect a lot of material things. I am happy with the quiet, simple lifestyle.",happy satisfied content focused attentive sharing trustworthy caring giving easy going,happy family content honest hardworking friends love pets healthy fun,33,29,49,male
"no, last page summarized this too. There shouldn't be a limit to the words I should have to write. This question is far too similar to make me write too many words.","No, of course not. The state and my ex take too much money. I literally do not make enough to stay afloat, let alone pretend my life is in harmony. I would suppose that if finances were to not be an issue in my life, my life would be very much in harmony, or so I think.",unbalanced twisted asymmetrical rough textured lop-sided filtered unhappy saddened dusty,exhausted drained saddened hurt beaten cursed tattered worn long painful,15,5,31,female
"I am mostly satisfied with my life although things can be a little better. I'm happy to be healthy and alive but wish I can make more money. All I want right now is to achieve my career goals. Once I do that I would be truly satisfied with life in total. Right now I feel a tad bit incomplete. But I am working on things now, so in due time all will be well.",I feel like I am in harmony with life for the most part. I life very serene and clean and hate to be around negativity. It took me a long time to find myself but once I did things became clearer to me. My third eye was opened allowing me to see things that I have never seen before. I was reborn and the new me feel amazing.,serenity peaceful hearty intrigued persuasive fantastic worrisome somber unrelenting indistinctive,healthy witty inspired handy useful stylish fun loved alive quirky,31,27,25,male
We run our small farm together and make some tough decisions but I am proud of our hard work. I am happy with who I am overall but trying to work on my shortcomings. I have wonderful circle of friends with one close friend that I share everything with.  I have some great sadness right now but I am content with everything else.,I pray in thanksgiving of all the blessings I have received and for guidance in all aspects of my life. Especially for the things I worry about or can't control. I feel I know myself and have expectations of myself and how I deal with people and situations. I am disappointed in myself when I don't handle things as well as I should. I sometimes have to remind myself to let go and move on after failing.,praying trusting mindful tense tired quiet expectant supported hobbies reflect,challenging uncertain proud steady safe loving hopeful eager determined funny,28,20,27,male
"My life is not very stable right now. I had to quit my job to get medical care I needed. Now I'm still alive but unemployed and not sure where I will be living in the next 3 months. I need a job, and I will need to move to get one in my field. I am not materialistic at all. I just want to feel like I can take care of myself and keep a roof over my head without worrying that I might need to depend on anyone else. When I have a stable living arrangement and am able to feel like I am helping others (people or animals or both), even if it's just on a volunteer basis outside of employment, then I will feel satisfied.","While in harmony with other people, I don't feel in harmony in my own life or with myself. I feel conflicted about listening to what my body needs. I don't know what direction to go with my life or how to get there. I feel completely overwhelmed with trying to figure that out. Part of me wants to give up, and part of me wants to keep going just to prove the people who think I can't do it wrong.",confused discordant conflicted unsure hesitant internal passive overwhelmed silent overstimulated,struggling isolated anxious depressed worried lonely sad hopeless scared doomed,9,7,32,male
At the current state in my life I feel that there is a lot more I can accomplish and that I should have already. I am disappointing at this point in my life but very hungry to do more. I am not content in any manner whatsoever. I need to finish what I began so a lot of hard work is ahead of me.,I wish I was more at peace but the imbalance in my life is hurting those chances. I don't know what to do with the relationships I currently have. I feel incompatible but somehow unable to get rid of those relationships. Its almost like I enjoy it for some odd reason. I may just like arguing and therefore seem to stay in this depressing cycle.,Frustrated Unease Impatient hatred imbalance dislike fighting discord disagreement incompatible,hungry challenge competition upset unhappy grudging annoyed critical malcontent dissapointed,13,11,27,female
I am not satisfied. Being a 56 year old woman raising a son alone I have experienced more hardships than not. I work a dead end job making minimum wage. I have looked for better but employers are only interested in the young in my area. It is discouraging trying to meet my bills in a timely manner and trying to provide for my son. I have been evicted twice had my two older children turn their backs on me. No I am not satisfied!,I have forgotten what it is like to be in harmony. Sleepless nights and worry are more a constant. Peace eludes me. I spend more time with worry and fear over things that are and threatening to be. When will the utilities be shut off if I cant make a payment? When is the car insurance due? Will we have money for food?,anxious overwhelmed angry ashamed tearful confused rude extended hopeless humiliated,hungry searching empty reaching fear rejected unappreciated lost under resented,5,5,56,male
I have not found a job even though I have a college degree. I have been depressed and have no energy to do anything. I have a lot of anxiety that causes me mental fatigue. I love my family but it doesn't seem to get any better. I just want to make everyone proud and contribute financially and at this point in time I do not feel that I am contributing anything.,I do not feel in harmony as I am depressed and anxious most of the time. I feel unstable and upset most of the time. I feel like I have gotten the short end of the stick and that it is never going to get better. I feel like there is no harmony in the world and everything is off.,sad humiliated ashamed disappointed depressed scared nervous angry painful unstable,disappointment negativity pessimism doubtful sad depressed angry unfair unsatisfied upset,19,22,26,male
"I am not satisfied in life because I have not fulfilled many of the goals that I have set out to achieve. I will not be satisfied with myself until I reach these goals. I feel that I have made numerous mistakes that will be difficult to overcome, thus leading to my dissatisfaction.",I am not in harmony because I do not know where my priorities stand. I am confused in my current state and my life seems to be full of fluctuation. I feel as if I am lost and need consistency.,Unharmonious Unsure Imbalanced Confused Sad Lost Discordant Choppy Fluctuating,Unsatisfied Unsuccessful Unimportant Confused Jealous Lost Unsure Angry Unstable Bored,24,18,19,female
